Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,Pathway,UP or DOWN
Folium-tuber vermis (VII),19/300,0.00648905,0.999964617,0,0,1.969125121,9.919743165,FTO;FAM49B;MARCKSL1;PANK3;HOMER2;PHF23;RNF180;IRX3;NUDT1;TERF1;NOL3;N4BP2L2;TRO;FABP3;BAIAP2L1;PARVG;ERBB4;STMN1;ACER3,Allen_Brain_atlas_down,DOWN
"Folium-tuber vermis (VII), molecular layer",19/300,0.00648905,0.999964617,0,0,1.969125121,9.919743165,FTO;FAM49B;MARCKSL1;PANK3;HOMER2;PHF23;RNF180;IRX3;NUDT1;TERF1;NOL3;N4BP2L2;TRO;FABP3;BAIAP2L1;PARVG;ERBB4;STMN1;ACER3,Allen_Brain_atlas_down,DOWN
Dentate nucleus,16/300,0.04778247,0.999964617,0,0,1.632945313,4.965944155,PSD;STARD4;FCRL5;RNF180;EBI3;CSN2;PILRA;TACR1;OPRM1;LYZL4;TRO;PPP1R1A;PARVG;ACER3;PDE4B;CLEC4G,Allen_Brain_atlas_down,DOWN
"Folium-tuber vermis (VII), granular layer",16/300,0.04778247,0.999964617,0,0,1.632945313,4.965944155,FTO;MARCKSL1;PANK3;HOMER2;RNF180;IRX3;NUDT1;NOL3;N4BP2L2;TRO;FABP3;BAIAP2L1;PARVG;ERBB4;STMN1;ACER3,Allen_Brain_atlas_down,DOWN
intermediate stratum of r7BL,16/300,0.04778247,0.999964617,0,0,1.632945313,4.965944155,OLAH;ACADVL;PANK3;CD300A;RGS13;EBI3;TMEM132A;FLI1;MED29;MED17;ARMC1;ATAT1;ANO1;EDNRB;PDZD11;METTL8,Allen_Brain_atlas_down,DOWN
r7 part of basolateral reticular formation,16/300,0.04778247,0.999964617,0,0,1.632945313,4.965944155,OLAH;ACADVL;PANK3;CD300A;RGS13;EBI3;TMEM132A;FLI1;MED29;MED17;ARMC1;ATAT1;ANO1;EDNRB;PDZD11;METTL8,Allen_Brain_atlas_down,DOWN
ventral endopiriform nucleus,16/300,0.04778247,0.999964617,0,0,1.632945313,4.965944155,SLC13A3;PLA2G12A;SMARCD2;CD83;PILRA;PLA2G7;LZTFL1;ATP7B;PSMD5;RASSF4;NLRP3;ALDOC;GALM;EMB;GPC6;CCDC61,Allen_Brain_atlas_down,DOWN
"Subiculum, ventral part, molecular layer",19/301,0.00671596,0.999965708,0,0,1.962039387,9.816610019,LAG3;RPH3AL;CSF3R;KHDRBS3;TSSC4;ZBTB16;PTH1R;TSPAN33;KCTD6;FOSL2;TRAIP;SLC9A2;SLC4A7;EXTL1;PARVG;PALMD;EFHD2;ITGBL1;SLC16A5,Allen_Brain_atlas_up,DOWN
"Agranular insular area, dorsal part, layer 1",18/301,0.01373345,0.999965708,0,0,1.849281148,7.929570958,ZMYND15;ZBTB39;TMEM120B;PCNA;FCRL5;CD180;PLD4;LRWD1;AGER;PPM1G;PFKL;RAD51C;EXTL1;ARL5C;EFHD2;CYTIP;CNNM3;SLC16A5,Allen_Brain_atlas_up,DOWN
Superior olivary complex,18/301,0.01373345,0.999965708,0,0,1.849281148,7.929570958,VAC14;RNASEH2A;MVK;ELOVL5;ESRRB;TBX6;KLK10;SNX20;CLN3;BFSP2;BAIAP2L1;LGALS1;PARVG;PAPPA;CCRL2;SPP1;SLC28A2;ATG7,Allen_Brain_atlas_up,DOWN
"Agranular insular area, ventral part, layer 1",17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,ZMYND15;TMEM120B;GMEB1;CD72;CD180;NUDT1;LRWD1;AGER;CDC25A;PIK3R5;PPM1G;PFKL;ARL5C;CLEC1A;EFHD2;PDE4B;CNNM3,Allen_Brain_atlas_up,DOWN
Intercalated amygdalar nucleus,17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,SCARB1;TMEM120B;OXTR;CSF3R;LAMB3;ANGEL2;DOC2B;PTH1R;TACR1;N4BP2L2;ACTG1;BMP3;RPS6KA5;PTPRC;SLCO2B1;RRS1;FOLR1,Allen_Brain_atlas_up,DOWN
Lateral posterior nucleus of the thalamus,17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,IPPK;KLF13;RBM15;HLF;LHFP;RGS16;CTNND1;IL1RAP;KCTD6;MED17;SLC4A7;CDC23;FAM20C;SLC25A21;METTL8;TARDBP;FNIP2,Allen_Brain_atlas_up,DOWN
"Subiculum, ventral part, stratum radiatum",17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,MOXD1;OXTR;ST6GAL1;LAG3;RPH3AL;DOC2B;PTH1R;TSPAN33;KCTD6;FOSL2;TRAIP;RAB43;SLC9A2;SLC4A7;RRS1;ITGBL1;ALDH18A1,Allen_Brain_atlas_up,DOWN
"Superior olivary complex, periolivary region",17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,VAC14;RNASEH2A;MVK;ELOVL5;ESRRB;TBX6;KLK10;SNX20;CLN3;BFSP2;BAIAP2L1;PARVG;PAPPA;CCRL2;SPP1;SLC28A2;ATG7,Allen_Brain_atlas_up,DOWN
amygdalo-striatal transition,17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,OXTR;LAG3;RPH3AL;CSF3R;LAMB3;TRMT2A;DOC2B;TACR1;TRAIP;RASD2;PPP1R2;BMP3;RGS2;RPS6KA5;PTPRC;SLCO2B1;FOLR1,Allen_Brain_atlas_up,DOWN
"anterior pretectal nucleus, dorsal superficial part",17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,IL10;IPPK;SMARCD2;KLF13;RBM15;LHFP;RGS16;CTNND1;IL1RAP;KCTD6;MED17;SLC4A7;CDC23;PDZD11;METTL8;TARDBP;FNIP2,Allen_Brain_atlas_up,DOWN
mantle zone of InsCx,17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,ZMYND15;TMEM120B;GMEB1;PCNA;LAMB3;CETN2;PLD4;AGER;FLI1;PIK3R5;PPM1G;EXTL1;ARL5C;EFHD2;MUC15;CYTIP;CNNM3,Allen_Brain_atlas_up,DOWN
parasubthalamic nucleus (migrated),17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,IL10;DCLRE1B;FCRL5;BTN1A1;ANGEL2;NUDT1;IGF2;ADRB2;SNX20;FOSL2;SLC6A6;HCK;ANO1;CLN3;BPIFA2;SLC28A2;ATG7,Allen_Brain_atlas_up,DOWN
paraterete nucleus,17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,CMTM7;MARCKSL1;FCRL5;BTN1A1;NUDT1;IGF2;ADRB2;TBX6;SNX20;SLC6A6;ANO1;CLN3;BAIAP2L1;BPIFA2;SLC28A2;ATG7;DNASE1L3,Allen_Brain_atlas_up,DOWN
periventricular stratum of AStr,17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,OXTR;LAG3;RPH3AL;CSF3R;LAMB3;TRMT2A;DOC2B;TACR1;TRAIP;RASD2;PPP1R2;BMP3;RGS2;RPS6KA5;PTPRC;SLCO2B1;FOLR1,Allen_Brain_atlas_up,DOWN
