Gene,Occurrences,,,,,
GRB10,98,,,,,
SPARC,89,,,,,
FOS,87,,,,,
CAV1,76,,,,,
IL10,66,,,,,
GPX3,62,,,,,
PTPRC,61,,,,,
IRS1,57,,,,,
LTBP3,56,,,,,
RASGRF1,56,,,,,
VAT1,56,,,,,
BCL2,52,,,,,
CD36,51,,,,,
TXNIP,51,,,,,
GAS6,49,,,,,
PRLR,49,,,,,
FN1,45,,,,,
MAPK10,45,,,,,
MEST,43,,,,,
TSC2,43,,,,,
NLRP3,41,,,,,
SPP1,41,,,,,
TNFSF11,40,,,,,
AKAP12,38,,,,,
HSPG2,38,,,,,
PDGFRA,38,,,,,
SOCS3,38,,,,,
NCAM1,37,,,,,
SFRP2,37,,,,,
STK11,37,,,,,
ADRB2,36,,,,,
ACACA,35,,,,,
ETS1,35,,,,,
CXCL12,34,,,,,
MTSS1,34,,,,,
PLA2G4A,34,,,,,
PLEKHH1,34,,,,,
CCR5,33,,,,,
CD8A,33,,,,,
ENTPD3,33,,,,,
FLT3,33,,,,,
ITGAL,33,,,,,
FASN,32,,,,,
LPAR1,31,,,,,
IGF2R,30,,,,,
RBMS3,30,,,,,
SOX9,30,,,,,
AGER,29,,,,,
CD86,29,,,,,
GLUL,29,,,,,
LRP1,29,,,,,
DSCAM,28,,,,,
H2-AB1,28,,,,,
SPHK1,28,,,,,
IRS2,27,,,,,
LIF,27,,,,,
P2RX4,27,,,,,
PRKCH,27,,,,,
ADRA1A,26,,,,,
EPHA1,26,,,,,
GRIN1,26,,,,,
MEFV,26,,,,,
TACR1,26,,,,,
IGF2,25,,,,,
LCP2,25,,,,,
NFATC1,25,,,,,
OXTR,25,,,,,
RAB27B,25,,,,,
ACLY,24,,,,,
CALCA,24,,,,,
CD200,24,,,,,
HSD11B1,24,,,,,
MDM2,24,,,,,
NRG4,24,,,,,
TMEM86A,24,,,,,
CDK6,23,,,,,
RRAS,23,,,,,
EDNRB,22,,,,,
PIK3R5,22,,,,,
RUNX1,22,,,,,
CD22,21,,,,,
DLG4,21,,,,,
ERBB4,21,,,,,
HCK,21,,,,,
P2RY14,21,,,,,
PCOLCE,21,,,,,
RAC2,21,,,,,
SLC9A1,21,,,,,
ACTB,20,,,,,
KLF4,20,,,,,
OPRM1,20,,,,,
PTAFR,20,,,,,
PTH1R,20,,,,,
RGS2,20,,,,,
SCNN1B,20,,,,,
SLC12A2,20,,,,,
DHFR,19,,,,,
DNLZ,19,,,,,
FUZ,19,,,,,
LIFR,19,,,,,
LPIN1,19,,,,,
PTN,19,,,,,
COPG2,18,,,,,
KRT18,18,,,,,
RGS16,18,,,,,
SORL1,18,,,,,
UBR4,18,,,,,
B2M,17,,,,,
CACNA1D,17,,,,,
CX3CR1,17,,,,,
FABP3,17,,,,,
FCGRT,17,,,,,
HCLS1,17,,,,,
MVK,17,,,,,
PTGIR,17,,,,,
SCNN1G,17,,,,,
SDR39U1,17,,,,,
SLC4A7,17,,,,,
ACTG1,16,,,,,
CD72,16,,,,,
DPP4,16,,,,,
H2-AA,16,,,,,
LIPA,16,,,,,
MRAS,16,,,,,
P2RY13,16,,,,,
PDGFC,16,,,,,
S100A6,16,,,,,
SCARB1,16,,,,,
TGFBR3,16,,,,,
TGM2,16,,,,,
AQP2,15,,,,,
ATP1B1,15,,,,,
F2RL2,15,,,,,
KCNN4,15,,,,,
KLF13,15,,,,,
LASP1,15,,,,,
LY96,15,,,,,
PCNA,15,,,,,
PDE4B,15,,,,,
PSTPIP2,15,,,,,
RND2,15,,,,,
RPS28,15,,,,,
TNIP1,15,,,,,
TRAF3IP2,15,,,,,
ALDOA,14,,,,,
ANO1,14,,,,,
BAIAP2L1,14,,,,,
BMP1,14,,,,,
CCRL2,14,,,,,
CD300A,14,,,,,
CD83,14,,,,,
CHRM1,14,,,,,
CLN3,14,,,,,
CSF3R,14,,,,,
EFHD2,14,,,,,
ELOVL5,14,,,,,
EMP2,14,,,,,
EPHA2,14,,,,,
ITPR2,14,,,,,
PECAM1,14,,,,,
PTPN5,14,,,,,
TIMP4,14,,,,,
YIPF2,14,,,,,
AQP5,13,,,,,
CAMK4,13,,,,,
CCDC82,13,,,,,
CTSB,13,,,,,
EBI3,13,,,,,
ERRFI1,13,,,,,
FLI1,13,,,,,
FOSL2,13,,,,,
GNG12,13,,,,,
H2-EB1,13,,,,,
HFE,13,,,,,
IPPK,13,,,,,
ITGAD,13,,,,,
KLF3,13,,,,,
LHX6,13,,,,,
NR1D1,13,,,,,
PRKAA2,13,,,,,
S1PR1,13,,,,,
SLC20A1,13,,,,,
SPHK2,13,,,,,
STIM1,13,,,,,
TCOF1,13,,,,,
UCKL1,13,,,,,
ACADVL,12,,,,,
ADAM8,12,,,,,
ATG7,12,,,,,
ECH1,12,,,,,
FOLR1,12,,,,,
HCST,12,,,,,
HELLS,12,,,,,
IGFBP7,12,,,,,
IL2RA,12,,,,,
LCN2,12,,,,,
LGALS1,12,,,,,
MTHFS,12,,,,,
NOL3,12,,,,,
PARVG,12,,,,,
SCYL1,12,,,,,
THBD,12,,,,,
TPM1,12,,,,,
WNK4,12,,,,,
ATP2B2,11,,,,,
CDC25A,11,,,,,
DUSP5,11,,,,,
FADS1,11,,,,,
GPR17,11,,,,,
INHBB,11,,,,,
LAG3,11,,,,,
LAMB3,11,,,,,
LIAS,11,,,,,
LY6E,11,,,,,
MXRA8,11,,,,,
NCF4,11,,,,,
NINJ1,11,,,,,
NUDT1,11,,,,,
RPS6KA5,11,,,,,
SOX10,11,,,,,
ADORA1,10,,,,,
AGR2,10,,,,,
CSN2,10,,,,,
CTR9,10,,,,,
FCGR3,10,,,,,
FCRL5,10,,,,,
HEG1,10,,,,,
IL1RAP,10,,,,,
MARCKSL1,10,,,,,
MED17,10,,,,,
MYLK2,10,,,,,
PILRA,10,,,,,
PLD4,10,,,,,
