Genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTO,FAM49B,MARCKSL1,PANK3,HOMER2,PHF23,RNF180,IRX3,NUDT1,TERF1,NOL3,N4BP2L2,TRO,FABP3,BAIAP2L1,PARVG,ERBB4,STMN1,ACER3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTO,FAM49B,MARCKSL1,PANK3,HOMER2,PHF23,RNF180,IRX3,NUDT1,TERF1,NOL3,N4BP2L2,TRO,FABP3,BAIAP2L1,PARVG,ERBB4,STMN1,ACER3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSD,STARD4,FCRL5,RNF180,EBI3,CSN2,PILRA,TACR1,OPRM1,LYZL4,TRO,PPP1R1A,PARVG,ACER3,PDE4B,CLEC4G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTO,MARCKSL1,PANK3,HOMER2,RNF180,IRX3,NUDT1,NOL3,N4BP2L2,TRO,FABP3,BAIAP2L1,PARVG,ERBB4,STMN1,ACER3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLAH,ACADVL,PANK3,CD300A,RGS13,EBI3,TMEM132A,FLI1,MED29,MED17,ARMC1,ATAT1,ANO1,EDNRB,PDZD11,METTL8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLAH,ACADVL,PANK3,CD300A,RGS13,EBI3,TMEM132A,FLI1,MED29,MED17,ARMC1,ATAT1,ANO1,EDNRB,PDZD11,METTL8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC13A3,PLA2G12A,SMARCD2,CD83,PILRA,PLA2G7,LZTFL1,ATP7B,PSMD5,RASSF4,NLRP3,ALDOC,GALM,EMB,GPC6,CCDC61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAG3,RPH3AL,CSF3R,KHDRBS3,TSSC4,ZBTB16,PTH1R,TSPAN33,KCTD6,FOSL2,TRAIP,SLC9A2,SLC4A7,EXTL1,PARVG,PALMD,EFHD2,ITGBL1,SLC16A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMYND15,ZBTB39,TMEM120B,PCNA,FCRL5,CD180,PLD4,LRWD1,AGER,PPM1G,PFKL,RAD51C,EXTL1,ARL5C,EFHD2,CYTIP,CNNM3,SLC16A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC14,RNASEH2A,MVK,ELOVL5,ESRRB,TBX6,KLK10,SNX20,CLN3,BFSP2,BAIAP2L1,LGALS1,PARVG,PAPPA,CCRL2,SPP1,SLC28A2,ATG7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
