"","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id","description","chromosome_name","start_position","end_position","strand","gene_biotype"
"1","H19",41.2734374214474,-3.88565439663633,1.37258169611855,-2.83090937874544,0.00464158698416226,0.0401749345333295,"ENSMUSG00000000031","H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]","7",142575529,142578143,-1,"lincRNA"
"2","4833413E03Rik",11.9266591344595,-3.78696898923549,1.43864489709009,-2.63231670087267,0.00848047700120808,0.0601177372693002,"ENSMUSG00000013562","RIKEN cDNA 4833413E03 gene [Source:MGI Symbol;Acc:MGI:1925354]","17",31557126,31559113,1,"lincRNA"
"3","Gm7628",43.7353933405361,-2.40911881408704,0.466565296544794,-5.16351908709899,2.42349856501551e-07,1.60020148107167e-05,"ENSMUSG00000025644","predicted gene 7628 [Source:MGI Symbol;Acc:MGI:3643956]","9",109093844,109097796,-1,"antisense"
"4","4930562F07Rik",339.282842327487,1.06124362587676,0.289443621548705,3.66649511983869,0.000245897609577115,0.00473557813110594,"ENSMUSG00000026729","RIKEN cDNA 4930562F07 gene [Source:MGI Symbol;Acc:MGI:1922505]","1",160074735,160077985,-1,"lincRNA"
"5","Prss23os",1350.41241577154,1.6268606212352,0.495376912867776,3.28408647834873,0.00102313522536411,0.0133585621797541,"ENSMUSG00000030623","protease, serine 23, opposite strand [Source:MGI Symbol;Acc:MGI:1916654]","7",89510007,89511873,1,"antisense"
"6","Crnde",4.68945351413071,-4.34632531768076,1.39089889955025,-3.12483194794831,0.00177906665831424,0.0199583643075933,"ENSMUSG00000031736","colorectal neoplasia differentially expressed (non-protein coding) [Source:MGI Symbol;Acc:MGI:1918546]","8",92326033,92356120,-1,"processed_transcript"
"7","Gm7008",1675.54463607469,-1.1193641652174,0.441465703922968,-2.5355631372278,0.0112266688803981,0.0730840331904226,"ENSMUSG00000035983","predicted gene 7008 [Source:MGI Symbol;Acc:MGI:3647211]","12",40222758,40229184,1,"antisense"
"8","Cdk19os",75.6058116777798,2.74988364309988,0.458191352953039,6.00160527992706,1.95376195447101e-09,2.25757193839126e-07,"ENSMUSG00000038491","cyclin-dependent kinase 19, opposite strand [Source:MGI Symbol;Acc:MGI:1914837]","10",40348508,40350103,-1,"antisense"
"9","2600006K01Rik",27.8429951029464,2.6613435118998,0.660214140146044,4.03103076724636,5.55327728480996e-05,0.00152781235776141,"ENSMUSG00000039798","RIKEN cDNA 2600006K01 gene [Source:MGI Symbol;Acc:MGI:1917569]","2",29868723,29870317,-1,"antisense"
"10","A930016O22Rik",21.4008526946507,3.06140823197925,1.15203982185195,2.65738056437833,0.00787504890585075,0.0570509028884673,"ENSMUSG00000040705","RIKEN cDNA A930016O22 gene [Source:MGI Symbol;Acc:MGI:3605623]","7",19417466,19421417,-1,"antisense"
